,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
131,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Germany,0,0.26,0.21000000000000002
132,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,India,0.22000000000000003,0.26,0.21000000000000002
133,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Japan,0,0.26,0.21000000000000002
134,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,People's Republic of China (mainland),0.27,0.27,0
135,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Rest of Asia Pacific,0.27,0.27,0.27
136,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Rest of Central & Eastern Europe,0.27,0.27,0.27
137,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Rest of Greater China,0,0.26,0.21000000000000002
138,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Rest of Latin America,0.22000000000000003,0.26,0.21000000000000002
139,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Rest of Middle East,0.22000000000000003,0.26,0.21000000000000002
140,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,South Korea,0.22000000000000003,0.26,0.21000000000000002
141,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,Southeast Asia,0.27,0.27,0
142,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,UK,0.27,0.27,0.27
143,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 9,United States,0,0.26,0.21000000000000002
144,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Australia,0.39,0.39,0.39
145,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Canada,0.39,0.39,0
146,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,France,0.39,0.39,0
147,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Germany,0,0.38,0.33
148,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,India,0.34,0.38,0.33
149,Geely,Lynk & co SUV/Crossover,SUV/Crossover,Model family 10,Japan,0,0.38,0.33
